network,method,mean_edge,mean_nonedge,n_edge,n_nonedge,p_perm,seed,n_perm,mean_nonedge_full_panel_context,n_nonedge_full_panel_context
core_15edge_13gene,pearson,0.16727851757304826,0.4035386456929444,15,63,0.6081,42,10000,0.3382509732293849,2852
substrate_18edge_13gene,pearson,0.1447970834159732,0.42209608234606183,18,60,0.4881,42,10000,0.3382509732293849,2852
core_15edge_13gene,spearman,0.23946204673015703,0.47805524069542527,15,63,0.3758,42,10000,0.4551737830461111,2852
substrate_18edge_13gene,spearman,0.23098807678135932,0.49252709137832795,18,60,0.2644,42,10000,0.4551737830461111,2852
