gene,a375_lfq_average,a375_log_lfq,fm55_lfq,fm55_log_lfq,citation,citation_source
ACTR10,56072.833333333336,4.798024183768805,32436.666666666668,5.224679788090005,PMC9854651,pmcid
ACTR1A,607916.6666666666,5.337984755715584,531053.3333333334,5.216412240626065,PMC9854651,pmcid
ACTR1B,368531.6666666667,5.273020573611791,305756.6666666667,4.859685575838459,PMC9854651,pmcid
ACTR2,735565.0,4.940914737580285,644375.0,3.9173277993174693,PMC9854651,pmcid
ACTR3,707363.3333333334,4.988900669537873,633006.6666666666,5.009466476860682,PMC9854651,pmcid
ACY1,240265.0,5.8377998528319734,256530.0,5.8226899219898876,PMC9854651,pmcid
ACYP1,79232.66666666667,5.502354276226814,83770.0,5.4993525287158285,PMC9854651,pmcid
ADAR,36889.0,5.161587589897989,47524.333333333336,5.192186326079174,PMC9854651,pmcid
ADCK3,22212.833333333332,4.980214782876885,25729.833333333332,4.851593625100948,PMC9854651,pmcid
ADCK4,21867.016666666666,5.303818603921006,16127.533333333333,5.3589812256253495,PMC9854651,pmcid
ADD1,405633.3333333333,5.693436736232442,255910.0,5.64408391857683,PMC9854651,pmcid
ADD2,65537.65000000001,3.989598116961936,35527.73333333333,4.397627204021875,PMC9854651,pmcid
ADD3,319605.0,5.227685357743195,297216.6666666667,5.160218347068163,PMC9854651,pmcid
ADH5,427828.3333333333,4.563900147401398,389410.0,4.731641135204053,PMC9854651,pmcid
ADI1,126041.66666666667,4.438763790417694,134378.33333333334,4.344683670692446,PMC9854651,pmcid
ADK,221200.0,5.145180862010602,204148.33333333334,5.172101607791858,PMC9854651,pmcid
ADNP,69842.16666666667,5.240891058243001,53594.666666666664,5.1408839336710015,PMC9854651,pmcid
ADPGK,62847.833333333336,4.900195926441243,45264.166666666664,4.864006484330584,PMC9854651,pmcid
ADPRHL2,236740.0,5.362045572966237,186908.33333333334,5.356822289622271,PMC9854651,pmcid
ADRBK1,109219.66666666667,5.366923896965684,106518.33333333333,5.29317096612172,PMC9854651,pmcid
ADRM1,350841.6666666667,4.606336571703118,289471.6666666667,4.321090732071271,PMC9854651,pmcid
ADSL,356931.6666666667,4.630404142437685,304056.6666666667,4.705694121947213,PMC9854651,pmcid
ADSS,728743.3333333334,4.553563455985965,516950.0,4.506622271579211,PMC9854651,pmcid
AFAP1,109330.33333333333,5.371120220861476,143875.0,5.441805069695703,PMC9854651,pmcid
AFAP1L2,20144.716666666667,5.073423223037998,45984.833333333336,5.11563824351441,PMC9854651,pmcid
AFF4,17799.75,5.897411723123567,9605.966666666667,5.898812908987409,PMC9854651,pmcid
AFP,24495.0,4.728317251042454,6118.7,4.680096691574636,PMC9854651,pmcid
AFTPH,23377.666666666668,5.7028209961165555,36190.333333333336,5.665127387044672,PMC9854651,pmcid
AGAP3,60334.0,5.466763851597166,59267.166666666664,5.244258973264851,PMC9854651,pmcid
AGFG1,106172.33333333333,5.143488412393395,111185.0,5.125258910738999,PMC9854651,pmcid
AGFG2,6917.0,3.160163287230241,,,PMC9854651,pmcid
AGGF1,13846.966666666667,6.023319005190374,10254.633333333333,2.7638520971203415,PMC9854651,pmcid
AGL,85333.0,5.500744044598669,98489.16666666667,5.9834345779905815,PMC9854651,pmcid
AGO2,40860.666666666664,5.272603469204975,60977.833333333336,5.36157675079015,PMC9854651,pmcid
AGPAT1,4679.2,4.553446086208255,3354.366666666667,5.254024126577719,PMC9854651,pmcid
AGPAT9,108383.66666666667,4.633544198011875,85283.33333333333,4.592559789449421,PMC9854651,pmcid
AGPS,98196.66666666667,5.234454007562709,69624.33333333333,4.708471890622442,PMC9854651,pmcid
AGRN,34921.333333333336,4.976732741529681,15878.533333333333,5.173244559061566,PMC9854651,pmcid
AGTRAP,95940.33333333333,4.7774920704148265,61020.0,4.928532401379645,PMC9854651,pmcid
AHCY,660041.6666666666,5.591596940966634,582443.3333333334,4.7751624532227055,PMC9854651,pmcid
AHCYL1,226043.33333333334,4.585082672404111,198570.0,5.5424021258224165,PMC9854651,pmcid
AHNAK,1789433.3333333333,4.97900706620975,1713300.0,4.798070277919912,PMC9854651,pmcid
AHR,35369.51666666667,4.203255056886427,54399.166666666664,5.076298115314555,PMC9854651,pmcid
AHSA1,879050.0,4.875929948094362,639500.0,4.208367892825512,PMC9854651,pmcid
AIDA,122091.66666666667,4.3760383169809,122516.66666666667,4.858233325755315,PMC9854651,pmcid
AIFM1,157276.66666666666,5.686539450716191,154475.83333333334,4.423213095757849,PMC9854651,pmcid
AIM1,71309.83333333333,5.2554333251317695,27450.833333333332,5.662069653800522,PMC9854651,pmcid
AIMP1,494133.3333333333,4.778858814958824,531710.0,5.168310840185293,PMC9854651,pmcid
AIMP2,530428.3333333334,4.118446608763358,535630.0,4.968352952077725,PMC9854651,pmcid
AIP,314501.6666666667,6.562958668654623,341868.3333333333,4.28969260902869,PMC9854651,pmcid
AJUBA,75508.5,7.079244576041869,19153.0,6.374994956466381,PMC9854651,pmcid
AK1,346748.3333333333,7.291180082280876,308878.3333333333,6.980855208042336,PMC9854651,pmcid
AK2,839291.6666666666,5.286710893869646,928475.0,7.261841542404961,PMC9854651,pmcid
AK3,33915.166666666664,5.897662822910773,56497.666666666664,5.165877149124257,PMC9854651,pmcid
AK4,142400.0,4.1905651270831425,140933.33333333334,5.930271349530451,PMC9854651,pmcid
AK6,103573.33333333333,6.59679312525839,67387.33333333333,4.362950320740289,PMC9854651,pmcid
