gene,gene_id_sysgo,associations_to_disease,cluster_string_no_expansion,process_1,process_2,process_3,main_location,in_a375,expr_a375_lfq,in_fm55,expr_fm55_lfq,citation,citation_source
RAF1,RAF1,Hyperpigmentation disorder,2.0,1_26_16_mitogen-activated protein kinase kinase kinase,Protein kinases,Signaling,01_A_Cytosol,RAF1,83409.0,RAF1,64363.333333333336,PMC9854651,pmcid
RALY,RALY,Hypopigmentation disorder,17.0,1_1_8_Metabolism of steroids/cholesterol,Lipid & FA metabolism,Metabolism,03_A_Nucleus,,,,,PMC9854651,pmcid
RECQL4,RECQL4,Mixed hypo- & hyperpigmentation disorder,1.0,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,,,,,PMC9854651,pmcid
RERE,RERE,Hypopigmentation disorder,,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,,,,,PMC9854651,pmcid
RFXANK,RFXANK,Mixed hypo- & hyperpigmentation disorder,,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,,,,,PMC9854651,pmcid
RIT1,RIT1,Hyperpigmentation disorder,2.0,1_26_1_Ras,Ras GTPases and regulators,Signaling,02_B_Cell membrane,,,,,PMC9854651,pmcid
RNASET2,RNASET2,Hypopigmentation disorder,,1_6_2_Metabolism of rRNA,Metabolism of rRNA,Metabolism,03_H_Necleoli,,,,,PMC9854651,pmcid
RPGRIP1L,RPGRIP1L,Hypopigmentation disorder,,1_16_Cilium assembly,Cytoskeleton,Cytoskeleton,01_D_3b_Cilia,,,,,PMC9854651,pmcid
RTEL1,RTEL1,Hyperpigmentation disorder,3.0,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_A_Nucleus,,,,,PMC9854651,pmcid
SAMD9,SAMD9,Hyperpigmentation disorder,,1_26_52_sterile alpha motif domain containing,Signaling - Other,Signaling,01_A_Cytosol,SAMD9,66041.16666666667,SAMD9,34152.5,PMC9854651,pmcid
SERPINB9,SERPINB9,Hypopigmentation disorder,13.0,2_1_10_Serpins,ECM organisation,ECM organisation,04_EXTRACELLULAR,,,,,PMC9854651,pmcid
SGPL1,SGPL1,Hyperpigmentation disorder,,1_1_7_Sphingolipid metabolism,Lipid & FA metabolism,Metabolism,01_B_2_b_Smooth ER,SGPL1,12026.566666666666,SGPL1,10049.833333333334,PMC9854651,pmcid
SH2B3,SH2B3,Hypopigmentation disorder,15.0,1_26_29_adapters/scaffolds,Adapters/scaffolds,Signaling,01_A_Cytosol,SH2B3,15805.333333333334,SH2B3,15377.365,PMC9854651,pmcid
SHOC2,SHOC2,Hyperpigmentation disorder,2.0,1_26_29_adapters/scaffolds,Adapters/scaffolds,Signaling,01_A_Cytosol,SHOC2,49850.666666666664,SHOC2,80469.5,PMC9854651,pmcid
SLC17A5,SLC17A5,Hypopigmentation disorder,,3_1_10_other transporters,Metabolism - Other,Metabolism,02_B_Cell membrane,,,,,PMC9854651,pmcid
SLC1A2,SLC1A2,Hypopigmentation disorder,,3_1_1_Amino acid & peptide transporters ,Metabolism of amino acids and derivatives,Metabolism,02_B_Cell membrane,,,,,PMC9854651,pmcid
SLC24A5,SLC24A5,Hypo & pigmentation,19.0,1_33_Melanosomes,Melanosomes,Organelles,02_B_Cell membrane,,,,,PMC9854651,pmcid
SLC29A3,SLC29A3,Hyperpigmentation disorder,,3_1_7_Nucleoside/nucleic acid bases transporters,Metabolism of nucleotides & phosphates,Metabolism,02_B_Cell membrane,,,,,PMC9854651,pmcid
SLC44A4,SLC44A4,Hypopigmentation disorder,,3_1_6_Lipid transporters,Lipid & FA metabolism,Metabolism,02_B_Cell membrane,,,,,PMC9854651,pmcid
SLC45A2,SLC45A2,Hypopigmentation disorder,5.0,1_33_Melanosomes,Melanosomes,Organelles,01_B_6_Melanosomes,,,,,PMC9854651,pmcid
SMARCAL1,SMARCAL1,Hyperpigmentation disorder,1.0,1_3_Chromatin organization,Chromatin organization,Chromatin organization & DNA repair,03_D_Chromatin,,,,,PMC9854651,pmcid
SMO,SMO,Hypopigmentation disorder,,3_9_Development,Developmental,Developmental,02_B_Cell membrane,,,,,PMC9854651,pmcid
SMOC2,SMOC2,Hypopigmentation disorder,,2_1_Extracellular matrix organisation,ECM organisation,ECM organisation,04_EXTRACELLULAR,,,,,PMC9854651,pmcid
SNAI2,SNAI2,Hypopigmentation disorder,10.0,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,,,,,PMC9854651,pmcid
SOX10,SOX10,Hypopigmentation disorder,10.0,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,SOX10,229673.33333333334,SOX10,286783.3333333333,PMC9854651,pmcid
SPATA48,SPATA48,Hypopigmentation disorder,,3_10_Reproduction,Reproduction,Other,03_A_Nucleus,,,,,PMC9854651,pmcid
SPRED1,SPRED1,Hyperpigmentation disorder,2.0,1_26_29_adaptors/scaffolds,Adapters/scaffolds,Signaling,01_A_Cytosol,,,,,PMC9854651,pmcid
ST3GAL5,ST3GAL5,Mixed hypo- & hyperpigmentation disorder,,1_8_10_O-linked glycosylation,Post-translational protein modification,"Protein translation, folding, modification & degradation",04_EXTRACELLULAR,,,,,PMC9854651,pmcid
STAR,STAR,Hyperpigmentation disorder,21.0,1_1_8_Metabolism of steroids/cholesterol,Lipid & FA metabolism,Metabolism,01_B_1_Mitochondria,,,,,PMC9854651,pmcid
STAT4,STAT4,Hypopigmentation disorder,36.0,3_5_3_Cytokine Signaling in Immune system,GPCR signaling,Signaling,01_A_Cytosol,,,,,PMC9854651,pmcid
STK11,STK11,Hyperpigmentation disorder,2.0,1_26_28_serine/threonine kinase,Protein kinases,Signaling,01_B_1_Mitochondria,,,,,PMC9854651,pmcid
TBX5,TBX5,Hyperpigmentation disorder,,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,,,,,PMC9854651,pmcid
TEF,TEF,Hypopigmentation disorder,,3_9_Development,Developmental,Developmental,03_A_Nucleus,,,,,PMC9854651,pmcid
TERC,,Hyperpigmentation disorder,,,,,,,,,,PMC9854651,pmcid
TERT,TERT,Hyperpigmentation disorder,3.0,4_1_2_Cell Cycle,Signaling - Cell fates,Signaling,03_C_Nucleoplasm,,,,,PMC9854651,pmcid
TG,TG,Hypopigmentation disorder,,1_8_17_Peptide hormone metabolism,Hormones,Signaling,04_EXTRACELLULAR,,,,,PMC9854651,pmcid
TICAM1,TICAM1,Hypopigmentation disorder,8.0,3_5_2_Innate Immune System,Innate Immune System,Immune system & Inflammation,01_A_Cytosol,,,,,PMC9854651,pmcid
TINF2,TINF2,Hyperpigmentation disorder,3.0,4_3_Cellular Senescence,Signaling - Cell fates,Signaling,03_A_Nucleus,,,,,PMC9854651,pmcid
TNFRSF11A,TNFRSF11A,Hypopigmentation disorder,37.0,3_2_4_Death Receptor Signalling,Signaling - Cell fates,Signaling,02_B_Cell membrane,,,,,PMC9854651,pmcid
TNFSF11,TNFSF11,Hypopigmentation disorder,37.0,3_2_4_Death Receptor Signalling,Signaling - Cell fates,Signaling,04_EXTRACELLULAR,,,,,PMC9854651,pmcid
TP63,TP63,Mixed hypo- & hyperpigmentation disorder,9.0,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,,,,,PMC9854651,pmcid
TPCN2,TPCN2,Pigmentation phenotype,19.0,3_1_21_Calcium channel,Ion transporters,Metabolism,01_B_4_Lysosomes,,,,,PMC9854651,pmcid
TSC1,TSC1,Hypopigmentation disorder,2.0,3_2_23_Signaling by TOR,Signaling - Cell fates,Signaling,01_A_Cytosol,,,,,PMC9854651,pmcid
TSC2,TSC2,Hypopigmentation disorder,2.0,1_26_3_Ras_GAP,Ras GTPases and regulators,Signaling,01_A_Cytosol,TSC2,43500.0,TSC2,32676.666666666668,PMC9854651,pmcid
TYR,TYR,"Hyper, hypo & pigmentation",5.0,1_7_Metabolism of amino acids and derivatives,Metabolism of amino acids and derivatives,Metabolism,01_B_4_Lysosomes,,,,,PMC9854651,pmcid
TYRP1,TYRP1,Hypopigmentation disorder,5.0,1_7_Metabolism of amino acids and derivatives,Metabolism of amino acids and derivatives,Metabolism,01_B_7_Endosomes,,,,,PMC9854651,pmcid
UBASH3A,UBASH3A,Hypopigmentation disorder,,1_26_58_Hydrolase,Metabolism - Other,Signaling,03_A_Nucleus,,,,,PMC9854651,pmcid
UBE2E2,UBE2E2,Hypopigmentation disorder,,1_8_6_Protein ubiquitination,Post-translational protein modification,"Protein translation, folding, modification & degradation",03_C_Nucleoplasm,,,,,PMC9854651,pmcid
USP9X,USP9X,Hypopigmentation disorder,12.0,1_8_13_Deubiquitination,Post-translational protein modification,"Protein translation, folding, modification & degradation",01_C_6_Vesicles,USP9X,157530.0,USP9X,135568.33333333334,PMC9854651,pmcid
UVSSA,UVSSA,Hyperpigmentation disorder,1.0,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,,,,,PMC9854651,pmcid
VEGFA,VEGFA,Hyperpigmentation disorder,6.0,3_2_16_Signaling by VEGF,Signaling - Cell fates,Signaling,04_EXTRACELLULAR,,,,,PMC9854651,pmcid
WIF1,WIF1,Hyperpigmentation disorder,,3_2_11_Signaling by Wnt,Signaling - Cell fates,Signaling,04_EXTRACELLULAR,,,,,PMC9854651,pmcid
WRAP53,WRAP53,Hyperpigmentation disorder,3.0,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,WRAP53,43508.333333333336,WRAP53,11604.699999999999,PMC9854651,pmcid
WRN,WRN,Mixed hypo- & hyperpigmentation disorder,1.0,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,,,,,PMC9854651,pmcid
XPA,XPA,Mixed hypo- & hyperpigmentation disorder,1.0,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,,,,,PMC9854651,pmcid
XPC,XPC,Mixed hypo- & hyperpigmentation disorder,1.0,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,,,,,PMC9854651,pmcid
ZC3H7B,ZC3H7B,Hypopigmentation disorder,,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,,,,,PMC9854651,pmcid
ZMIZ1,ZMIZ1,Hypopigmentation disorder,,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,ZMIZ1,3812.8333333333335,,,PMC9854651,pmcid
ZMPSTE24,ZMPSTE24,Hyperpigmentation disorder,,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,ZMPSTE24,67451.83333333333,ZMPSTE24,38463.333333333336,PMC9854651,pmcid
ZNF354A,ZNF354A,Hypopigmentation disorder,,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,,,,,PMC9854651,pmcid
