gene,in_raghunath_168,in_darcy_s1_243,in_kegg_hsa04916,in_reactome_curated_union,in_reactome_r_hsa_5662702_precision,n_sets,darcy_phenotype_class,citation,citation_source,in_bajpai2023_crispr_169,bajpai_castle_effect,bajpai_q_value,bajpai_direction,bajpai_orphan_hit,n_sets_incl_bajpai
BACE2,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.1,0.000880643,reduces_pigmentation,True,1
BAMBI,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,0.9,0.026625188,reduces_pigmentation,True,1
BLOC1S2,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.0,0.001187277,reduces_pigmentation,True,1
BLOC1S5-TXNDC5,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,2.3,0.012247858,reduces_pigmentation,True,1
C10ORF11,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.6,0.000574266,reduces_pigmentation,True,1
C11ORF30,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.2,0.055173294,reduces_pigmentation,True,1
C16ORF62,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,2.0,0.000324585,reduces_pigmentation,True,1
C16ORF80,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.0,0.002223752,reduces_pigmentation,True,1
C9ORF91,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,0.9,0.037940056,reduces_pigmentation,True,1
CANX,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,0.9,0.023013651,reduces_pigmentation,True,1
CCDC22,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,2.4,0.00019277,reduces_pigmentation,True,1
CCDC53,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.4,0.052164944,reduces_pigmentation,True,1
CCDC93,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.5,0.032097665,reduces_pigmentation,True,1
CCNK,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.4,0.022433899,reduces_pigmentation,True,1
CCZ1B,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.1,0.045439733,reduces_pigmentation,True,1
CD72,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.0,0.02738771,reduces_pigmentation,True,1
CDK12,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,0.8,0.037940056,reduces_pigmentation,True,1
CHD8,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.0,0.00188499,reduces_pigmentation,True,1
CLN3,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.4,0.073027238,reduces_pigmentation,True,1
CMTR2,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.6,0.002742412,reduces_pigmentation,True,1
COMMD10,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.6,0.001063731,reduces_pigmentation,True,1
COMMD2,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,2.6,0.00019277,reduces_pigmentation,True,1
COMMD3,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,2.2,0.076379756,reduces_pigmentation,True,1
COMMD3-BMI1,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.6,0.00019277,reduces_pigmentation,True,1
COMMD4,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.5,0.022433899,reduces_pigmentation,True,1
COMMD5,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.7,0.00019277,reduces_pigmentation,True,1
COMMD8,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.9,0.00019277,reduces_pigmentation,True,1
CSK,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.0,0.015384889,reduces_pigmentation,True,1
CTDSPL2,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.7,0.000324585,reduces_pigmentation,True,1
CUL5,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.1,0.001137683,reduces_pigmentation,True,1
DEGS1,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,0.9,0.005031863,reduces_pigmentation,True,1
DEK,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.8,0.00019277,reduces_pigmentation,True,1
DGKD,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.0,0.074568736,reduces_pigmentation,True,1
DHX29,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,2.0,0.00019277,reduces_pigmentation,True,1
DNAJC13,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,2.9,0.00019277,reduces_pigmentation,True,1
DSCR3,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.0,0.005031863,reduces_pigmentation,True,1
DYRK1A,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.7,0.00019277,reduces_pigmentation,True,1
F8A1,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.0,0.045439733,reduces_pigmentation,True,1
F8A3,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.5,0.033252817,reduces_pigmentation,True,1
FIP1L1,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.2,0.018659276,reduces_pigmentation,True,1
FRYL,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,2.1,0.00019277,reduces_pigmentation,True,1
GANAB,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.8,0.00019277,reduces_pigmentation,True,1
GLTSCR1,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.0,0.030710861,reduces_pigmentation,True,1
GOLGA8M,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,2.0,0.035713022,reduces_pigmentation,True,1
GPS2,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.3,0.011128411,reduces_pigmentation,True,1
HAUS3,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,2.9,0.091774165,reduces_pigmentation,True,1
HDAC3,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.2,0.00019277,reduces_pigmentation,True,1
HDAC4,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,0.9,0.016166135,reduces_pigmentation,True,1
HNRNPA2B1,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.1,0.000880643,reduces_pigmentation,True,1
HNRNPR,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.7,0.00019277,reduces_pigmentation,True,1
HSPA13,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.0,0.008625554,reduces_pigmentation,True,1
HSPA5,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.7,0.011847352,reduces_pigmentation,True,1
INTS6,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.8,0.035713022,reduces_pigmentation,True,1
INTS8,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.3,0.011396467,reduces_pigmentation,True,1
IRF2BP2,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.3,0.014568005,reduces_pigmentation,True,1
KHDRBS1,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,3.0,0.00019277,reduces_pigmentation,True,1
KIAA0196,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,2.3,0.00019277,reduces_pigmentation,True,1
KIAA1033,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,3.2,0.00019277,reduces_pigmentation,True,1
KIRREL,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,0.9,0.026835175,reduces_pigmentation,True,1
KLF6,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.1,0.00019277,reduces_pigmentation,True,1
LZIC,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.8,0.00019277,reduces_pigmentation,True,1
MNT,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.1,0.003978131,reduces_pigmentation,True,1
MSMO1,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.2,0.000574266,reduces_pigmentation,True,1
MTMR6,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.2,0.000666558,reduces_pigmentation,True,1
MTMR9,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.0,0.003096086,reduces_pigmentation,True,1
NCOR1,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.1,0.00019277,reduces_pigmentation,True,1
NF2,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.4,0.00019277,reduces_pigmentation,True,1
PDCD10,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.5,0.000574266,reduces_pigmentation,True,1
QKI,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.3,0.00019277,reduces_pigmentation,True,1
RAB14,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,2.6,0.00019277,reduces_pigmentation,True,1
RAB21,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,2.0,0.00019277,reduces_pigmentation,True,1
RAB32,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.3,0.00019277,reduces_pigmentation,True,1
RAB7A,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,2.1,0.00019277,reduces_pigmentation,True,1
RAB9A,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.2,0.005967646,reduces_pigmentation,True,1
RB1,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,0.9,0.013563045,reduces_pigmentation,True,1
RBBP6,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.4,0.000880643,reduces_pigmentation,True,1
RBM5,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,0.8,0.032623583,reduces_pigmentation,True,1
RPL17-C18ORF32,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,2.3,0.068379321,reduces_pigmentation,True,1
RPRD2,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,2.2,0.00019277,reduces_pigmentation,True,1
SAFB,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.3,0.004913738,reduces_pigmentation,True,1
SAR1A,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.5,0.00019277,reduces_pigmentation,True,1
SCAF4,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.3,0.000324585,reduces_pigmentation,True,1
SEC31A,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,2.3,0.00019277,reduces_pigmentation,True,1
SELT,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,0.9,0.004913738,reduces_pigmentation,True,1
SHISA4,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.1,0.036793518,reduces_pigmentation,True,1
SIAH1,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.3,0.00019277,reduces_pigmentation,True,1
SIRT6,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,0.9,0.052991966,reduces_pigmentation,True,1
SLAIN1,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,4.3,0.077824109,reduces_pigmentation,True,1
SLC12A9,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.4,0.00019277,reduces_pigmentation,True,1
SLC24A4,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,0.7,0.044255188,reduces_pigmentation,True,1
SLC26A6,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,0.9,0.010445575,reduces_pigmentation,True,1
SLC31A1,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,2.5,0.00019277,reduces_pigmentation,True,1
SLC33A1,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,2.8,0.00019277,reduces_pigmentation,True,1
SMEK1,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,0.8,0.057511305,reduces_pigmentation,True,1
SMG7,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,0.8,0.076379756,reduces_pigmentation,True,1
SNX13,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.1,0.003096086,reduces_pigmentation,True,1
SPAG16,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.4,0.08753218,reduces_pigmentation,True,1
SPCS2,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.9,0.069776217,reduces_pigmentation,True,1
SPCS3,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,3.0,0.012505856,reduces_pigmentation,True,1
SPTSSA,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.1,0.056569263,reduces_pigmentation,True,1
SRSF3,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,2.3,0.022433899,reduces_pigmentation,True,1
SRSF5,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.1,0.00019277,reduces_pigmentation,True,1
TAOK1,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,0.9,0.016978602,reduces_pigmentation,True,1
TBC1D5,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.3,0.006262296,reduces_pigmentation,True,1
TBL1XR1,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.1,0.00019277,reduces_pigmentation,True,1
TMED10,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.5,0.000666558,reduces_pigmentation,True,1
TMED2,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.3,0.00019277,reduces_pigmentation,True,1
TMEM163,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.4,0.000324585,reduces_pigmentation,True,1
TMEM30A,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.0,0.034284692,reduces_pigmentation,True,1
TMEM9B,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.3,0.007318852,reduces_pigmentation,True,1
TRAPPC13,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,0.9,0.009687682,reduces_pigmentation,True,1
TRNAU1AP,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.0,0.005649856,reduces_pigmentation,True,1
USF2,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,0.8,0.010816882,reduces_pigmentation,True,1
VPS18,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.1,0.026625188,reduces_pigmentation,True,1
VPS26A,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.2,0.057511305,reduces_pigmentation,True,1
VPS29,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,2.2,0.00019277,reduces_pigmentation,True,1
VPS35,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.7,0.00019277,reduces_pigmentation,True,1
VPS39,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.2,0.036793518,reduces_pigmentation,True,1
VPS41,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.5,0.015046832,reduces_pigmentation,True,1
VPS54,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.4,0.093923271,reduces_pigmentation,True,1
WDFY1,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,0.8,0.029298242,reduces_pigmentation,True,1
