gene_a,gene_b,darcy_s4_combined_score,our_string_v12_score,in_darcy_s4,in_our_pull,agreement,citation,citation_source
HLA-DQB1,HLA-DRB1,0.854,0.75,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HLA-DQB1,PTPN11,0.902,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HLA-DQB1,PTPN22,0.957,0.847,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HLA-DQB1,PTPRC,0.96,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HLA-DRA,HLA-DRB1,0.999,0.999,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HLA-DRA,PTPN11,0.9,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HLA-DRA,PTPN22,0.928,0.769,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HLA-DRA,PTPRC,0.947,0.784,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HLA-DRB1,PTPN11,0.909,0.716,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HLA-DRB1,PTPN22,0.989,0.968,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HLA-DRB1,PTPRC,0.95,0.739,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HPS1,HPS3,0.928,0.902,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HPS1,HPS4,0.992,0.989,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HPS1,HPS5,0.784,0.838,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HPS1,HPS6,0.897,0.874,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HPS3,HPS4,0.983,0.996,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HPS3,HPS5,0.996,0.999,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HPS3,HPS6,0.992,0.999,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HPS3,LYST,,0.742,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HPS3,TYRP1,,0.733,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HPS4,HPS5,0.97,0.992,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HPS4,HPS6,0.969,0.995,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HPS5,HPS6,0.993,0.999,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HPS5,LYST,,0.754,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HPS5,TYRP1,,0.72,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HPS6,TYRP1,,0.759,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HRAS,IL2RA,0.919,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HRAS,KIT,0.981,0.962,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HRAS,KITLG,0.94,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HRAS,MAP2K1,0.991,0.989,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HRAS,MLH1,0.763,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HRAS,MSH2,0.722,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HRAS,MSH6,0.723,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HRAS,NF1,0.999,0.994,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HRAS,NRAS,0.987,0.932,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HRAS,PTEN,0.928,0.823,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HRAS,PTPN11,0.991,0.926,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HRAS,RAF1,0.999,0.999,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HRAS,SHOC2,0.997,0.99,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HRAS,SPRED1,0.96,0.792,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HRAS,STK11,0.811,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HRAS,TSC2,0.73,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
HRAS,VEGFA,0.72,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
IDS,IDUA,0.976,0.981,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
IKBKG,IRF3,0.93,0.961,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
IKBKG,TICAM1,0.768,0.71,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
IL17A,IL23R,0.817,0.927,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
IL17A,IL2RA,0.729,0.805,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
IL17A,IRF4,0.716,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
IL17A,POMC,0.925,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
IL17A,PTPRC,0.775,0.782,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
IL17A,STAT4,,0.779,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
IL17A,TNFSF11,0.716,0.744,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
IL17A,VEGFA,0.972,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
IL23R,STAT4,0.964,0.911,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
IL2RA,MAP2K1,0.907,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
IL2RA,NRAS,0.908,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
IL2RA,PTPN11,0.914,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
IL2RA,PTPN22,0.728,0.733,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
IL2RA,PTPRC,0.752,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
IRF3,IRF4,0.918,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
IRF3,PTPN11,0.919,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
IRF3,TICAM1,0.98,0.993,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
IRF4,PTPRC,,0.707,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
IRF4,SLC45A2,,0.716,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
KIT,KITLG,0.999,0.999,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
KIT,MC1R,0.764,0.757,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
KIT,MITF,0.792,0.783,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
KIT,NF1,,0.715,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
KIT,NRAS,0.978,0.981,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
KIT,PTEN,,0.719,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
KIT,PTPN11,0.99,0.99,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
KIT,PTPRC,0.883,0.906,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
KIT,SH2B3,0.998,0.875,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
KIT,SNAI2,0.954,0.744,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
KIT,SPRED1,,0.751,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
KIT,VEGFA,0.902,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
KITLG,MCM4,0.9,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
KITLG,NRAS,0.935,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
KITLG,PTPN11,0.937,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
KITLG,SH2B3,0.927,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
KITLG,SNAI2,0.93,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
KRT14,KRT5,0.994,0.999,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
KRT14,TP63,,0.79,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
KRT5,TP63,0.789,0.861,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
LRMDA,OCA2,,0.711,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
LRMDA,SLC24A5,,0.773,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
LRMDA,SLC45A2,,0.704,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
LYST,NID1,0.736,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
LYST,RAB27A,0.746,0.787,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MAP2K1,NF1,0.719,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MAP2K1,NRAS,0.981,0.983,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MAP2K1,PTEN,0.86,0.792,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MAP2K1,PTPN11,0.982,0.928,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MAP2K1,RAF1,0.998,0.999,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MAP2K1,SHOC2,0.735,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MC1R,MITF,0.862,0.847,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MC1R,MTAP,,0.822,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MC1R,OCA2,0.89,0.936,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MC1R,PLA2G6,,0.71,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MC1R,POMC,0.998,0.999,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MC1R,PTEN,0.937,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MC1R,RALY,,0.726,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MC1R,SLC24A5,0.807,0.858,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MC1R,SLC45A2,0.8,0.909,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MC1R,TYR,0.867,0.96,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MC1R,TYRP1,0.855,0.934,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MC2R,MRAP,0.998,0.999,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MC2R,NR0B1,,0.751,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MC2R,POMC,0.998,0.999,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MC2R,STAR,0.752,0.832,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MCM4,MSH2,0.923,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MCM4,MSH6,0.914,0.735,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MCM4,POLA1,0.998,0.978,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MCM4,RECQL4,0.81,0.81,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MEN1,PLCB3,,0.714,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MEN1,PRKAR1A,0.761,0.755,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MITF,NRAS,0.702,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MITF,PAX3,0.772,0.881,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MITF,POMC,,0.799,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MITF,SLC45A2,0.723,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MITF,SNAI2,,0.736,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MITF,SOX10,0.847,0.94,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MITF,TYR,0.93,0.981,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MITF,TYRP1,0.905,0.936,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MLH1,MSH2,0.999,0.999,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MLH1,MSH6,0.999,0.999,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MLH1,NBN,0.846,0.891,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MLH1,NF1,,0.764,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MLH1,PALB2,,0.892,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MLH1,PMS2,0.999,0.999,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MLH1,PTEN,0.701,0.83,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MLH1,RECQL4,0.793,0.813,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MLH1,STK11,,0.73,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MLH1,WRN,0.885,0.835,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MLH1,XPA,0.905,0.838,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MLH1,XPC,0.703,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MLPH,MYO5A,0.998,0.999,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MLPH,RAB27A,0.999,0.999,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MRAP,POMC,0.946,0.998,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MSH2,MSH6,0.999,0.999,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MSH2,NBN,0.766,0.824,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MSH2,NF1,,0.726,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MSH2,PALB2,0.727,0.898,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MSH2,PMS2,0.999,0.999,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MSH2,POLA1,0.933,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MSH2,PTEN,,0.778,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MSH2,RECQL4,0.796,0.781,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MSH2,WRN,0.855,0.829,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MSH2,XPA,0.945,0.908,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MSH2,XPC,0.943,0.944,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MSH6,NBN,0.785,0.907,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MSH6,NF1,,0.756,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MSH6,PALB2,0.726,0.894,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MSH6,PMS2,0.999,0.999,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MSH6,POLA1,0.952,0.882,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MSH6,POLH,0.835,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MSH6,PTEN,,0.742,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MSH6,RECQL4,0.888,0.85,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MSH6,STK11,,0.71,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MSH6,WRN,0.882,0.875,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MSH6,XPA,0.906,0.856,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MSH6,XPC,0.954,0.933,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MTAP,PLA2G6,,0.771,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MTAP,STAT4,0.9,0.758,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MTAP,TYR,,0.719,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MYH8,PRKAR1A,0.735,0.807,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
MYO5A,RAB27A,0.999,0.999,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
NBN,PALB2,0.82,0.801,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
NBN,POLH,0.925,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
NBN,RTEL1,0.917,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
NBN,WRN,0.924,0.927,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
NF1,NFIX,0.722,,True,False,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
NF1,NRAS,0.994,0.994,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
NF1,PMS2,,0.745,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
NF1,PTEN,0.875,0.874,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
NF1,PTPN11,0.722,0.852,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
NF1,RAF1,0.715,0.812,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
NF1,SPRED1,0.997,0.992,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
NF1,STK11,,0.728,False,True,False,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
NF1,TSC2,0.719,0.709,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
NHP2,NOP10,0.999,0.999,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
NHP2,PARN,0.728,0.723,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
NHP2,RTEL1,0.913,0.896,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
NHP2,TERT,0.99,0.999,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
NHP2,TINF2,0.941,0.946,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
NHP2,WRAP53,0.989,0.999,True,True,True,PMC9854651 (S4) vs STRING v12.0 (2026-07-12T01:17:03.759858+00:00),pmcid+string_db
