# Primate assemblies used in this analysis — the replication key.
# Anyone can re-fetch the identical genomes with:  datasets download genome accession <assembly_accession>
# Columns: species  common_name  clade  assembly_accession  role  notes
# role = target (aligned to) | reference_proteome (source of query proteins)
# clade lets us batch by group; gibbons (Hylobatidae) are the priority clade — run first.
# TODO: fill in the actual accession set. Example rows below (verify accessions before use):
species	common_name	clade	assembly_accession	role	notes
Homo_sapiens	human	Hominidae	GCF_000001405.40	reference_proteome	GRCh38.p14
Macaca_mulatta	rhesus_macaque	Cercopithecidae	GCF_003339765.1	reference_proteome	Mmul_10
Nomascus_leucogenys	northern_white-cheeked_gibbon	Hylobatidae	GCF_006542625.1	target	priority clade — TODO verify
